st_angle, drive_speed
0.102994, 5.500000
0.102994, 5.500000
0.101543, 5.500000
0.101543, 5.500000
0.100093, 5.500000
0.100093, 5.500000
0.100093, 5.500000
0.098642, 5.500000
0.098642, 5.500000
0.097191, 5.500000
0.097191, 5.500000
0.097191, 5.500000
0.095741, 5.500000
0.095741, 5.500000
0.282871, 1.500000
0.282871, 1.500000
0.282871, 1.500000
0.278519, 1.500000
0.278519, 1.500000
0.269815, 1.500000
0.269815, 1.500000
0.269815, 1.500000
0.261111, 1.500000
0.261111, 1.500000
0.256759, 1.500000
0.256759, 1.500000
0.256759, 1.500000
0.097482, 4.882544
0.097482, 4.882544
0.087037, 4.895162
0.087037, 4.895162
0.087037, 4.895162
0.080074, 4.748930
0.080074, 4.748930
0.069630, 4.800807
0.069630, 4.800807
0.069630, 4.800807
0.059185, 4.825593
0.059185, 4.825593
0.050482, 4.810098
0.050482, 4.810098
0.050482, 4.810098
0.040037, 4.957699
0.040037, 4.957699
0.031333, 4.955614
0.031333, 4.955614
0.031333, 4.955614
0.060926, 1.500000
0.060926, 1.500000
0.043519, 1.500000
0.043519, 1.500000
0.043519, 1.500000
0.021760, 1.500000
0.021760, 1.500000
0.000000, 1.500000
0.000000, 1.500000
0.000000, 1.500000
-0.021759, 1.500000
-0.021759, 1.500000
-0.043518, 1.500000
-0.043518, 1.500000
-0.043518, 1.500000
-0.065278, 1.500000
-0.065278, 1.500000
-0.082685, 1.500000
-0.082685, 1.500000
-0.082685, 1.500000
-0.095741, 1.500000
-0.095741, 1.500000
-0.113148, 1.500000
-0.113148, 1.500000
-0.113148, 1.500000
-0.126204, 1.500000
-0.126204, 1.500000
-0.134907, 1.500000
-0.134907, 1.500000
-0.134907, 1.500000
-0.139259, 1.500000
-0.139259, 1.500000
-0.169722, 1.500000
-0.169722, 1.500000
-0.169722, 1.500000
-0.174074, 1.500000
-0.174074, 1.500000
-0.169722, 1.500000
-0.169722, 1.500000
-0.169722, 1.500000
-0.060926, 5.500000
-0.060926, 5.500000
-0.058025, 5.500000
-0.058025, 5.500000
-0.058025, 5.500000
-0.055123, 5.500000
-0.055123, 5.500000
-0.053673, 5.500000
-0.053673, 5.500000
-0.053673, 5.500000
-0.050772, 5.500000
-0.050772, 5.500000
-0.046420, 5.500000
-0.046420, 5.500000
-0.046420, 5.500000
-0.047870, 5.500000
-0.047870, 5.500000
-0.044969, 5.500000
-0.044969, 5.500000
-0.044969, 5.500000
-0.044969, 5.500000
-0.044969, 5.500000
-0.046420, 5.500000
-0.046420, 5.500000
-0.046420, 5.500000
-0.044969, 5.500000
-0.044969, 5.500000
-0.044969, 5.500000
-0.044969, 5.500000
-0.044969, 5.500000
-0.044969, 5.500000
