px, py, yaw, speed
-2.628855, 8.687719, -3.133966, 5.499407
-2.683849, 8.687623, -3.132573, 5.499435
-2.683849, 8.687623, -3.132573, 5.499435
-2.683849, 8.687623, -3.132573, 5.499435
-2.738844, 8.687502, -3.131623, 5.499462
-2.738844, 8.687502, -3.131623, 5.499462
-2.793838, 8.687381, -3.131345, 5.499487
-2.793838, 8.687381, -3.131345, 5.499487
-2.793838, 8.687381, -3.131345, 5.499487
-2.848833, 8.687232, -3.131306, 5.499512
-2.848833, 8.687232, -3.131306, 5.499512
-2.903828, 8.687085, -3.131768, 5.499535
-2.903828, 8.687085, -3.131768, 5.499535
-2.903828, 8.687085, -3.131768, 5.499535
-2.958823, 8.686915, -3.132327, 5.499557
-2.958823, 8.686915, -3.132327, 5.499557
-3.013819, 8.686754, -3.133270, 5.499578
-3.013819, 8.686754, -3.133270, 5.499578
-3.013819, 8.686754, -3.133270, 5.499578
-3.068814, 8.686580, -3.134214, 5.499598
-3.068814, 8.686580, -3.134214, 5.499598
-3.123810, 8.686426, -3.135460, 5.499617
-3.123810, 8.686426, -3.135460, 5.499617
-3.123810, 8.686426, -3.135460, 5.499617
-3.178806, 8.686268, -3.136642, 5.499635
-3.178806, 8.686268, -3.136642, 5.499635
-3.233803, 8.686140, -3.138074, 5.499653
-3.233803, 8.686140, -3.138074, 5.499653
-3.233803, 8.686140, -3.138074, 5.499653
-3.288799, 8.686021, -3.139397, 5.499669
-3.288799, 8.686021, -3.139397, 5.499669
-3.343796, 8.685942, -3.140934, 5.499685
-3.343796, 8.685942, -3.140934, 5.499685
-3.343796, 8.685942, -3.140934, 5.499685
-3.398793, 8.685881, 3.140850, 5.499700
-3.398793, 8.685881, 3.140850, 5.499700
-3.453790, 8.685869, 3.139257, 5.499714
-3.453790, 8.685869, 3.139257, 5.499714
-3.508787, 8.685858, 3.138140, 5.499728
-3.508787, 8.685858, 3.138140, 5.499728
-3.563784, 8.685802, 3.138015, 5.499741
-3.563784, 8.685802, 3.138015, 5.499741
-3.563784, 8.685802, 3.138015, 5.499741
-3.618782, 8.685729, 3.138394, 5.499753
-3.618782, 8.685729, 3.138394, 5.499753
-3.673779, 8.685614, 3.139489, 5.499765
-3.673779, 8.685614, 3.139489, 5.499765
-3.673779, 8.685614, 3.139489, 5.499765
-3.728777, 8.685480, 3.140859, 5.499776
-3.728777, 8.685480, 3.140859, 5.499776
-3.783774, 8.685295, -3.140431, 5.499787
-3.783774, 8.685295, -3.140431, 5.499787
-3.783774, 8.685295, -3.140431, 5.499787
-3.838772, 8.685081, -3.138418, 5.499797
-3.838772, 8.685081, -3.138418, 5.499797
-3.893769, 8.684803, -3.136009, 5.499806
