-3.322019,-0.132666,-0.04844,5.49508,0.0,0.102994,5.5
-3.322019,-0.132666,-0.04844,5.49508,0.0,0.102994,5.5
-3.267168,-0.135999,-0.045359,5.495314,0.0,0.101543,5.5
-3.267168,-0.135999,-0.045359,5.495314,0.0,0.101543,5.5
-3.267168,-0.135999,-0.045359,5.495314,0.0,0.100093,5.5
-3.212308,-0.139214,-0.042459,5.495537,0.0,0.100093,5.5
-3.212308,-0.139214,-0.042459,5.495537,0.0,0.100093,5.5
-3.157437,-0.142283,-0.039402,5.495749,0.0,0.098642,5.5
-3.157437,-0.142283,-0.039402,5.495749,0.0,0.098642,5.5
-3.157437,-0.142283,-0.039402,5.495749,0.0,0.097191,5.5
-3.102557,-0.145228,-0.036526,5.495951,0.0,0.097191,5.5
-3.102557,-0.145228,-0.036526,5.495951,0.0,0.097191,5.5
-3.047668,-0.14802,-0.033493,5.496144,0.0,0.095741,5.5
-3.047668,-0.14802,-0.033493,5.496144,0.0,0.095741,5.5
-3.047668,-0.14802,-0.033493,5.496144,0.0,0.282871,1.5
-2.99277,-0.150685,-0.030641,5.496327,0.0,0.282871,1.5
-2.99277,-0.150685,-0.030641,5.496327,0.0,0.282871,1.5
-2.937863,-0.153194,-0.02763,5.496502,0.0,0.278519,1.5
-2.937863,-0.153194,-0.02763,5.496502,0.0,0.278519,1.5
-2.937863,-0.153194,-0.02763,5.496502,0.0,0.269815,1.5
-2.882949,-0.155571,-0.024798,5.496668,0.0,0.269815,1.5
-2.882949,-0.155571,-0.024798,5.496668,0.0,0.269815,1.5
-2.828026,-0.157789,-0.021806,5.496827,0.0,0.261111,1.5
-2.828026,-0.157789,-0.021806,5.496827,0.0,0.261111,1.5
-2.828026,-0.157789,-0.021806,5.496827,0.0,0.256759,1.5
-2.773097,-0.159873,-0.018992,5.496978,0.0,0.256759,1.5
-2.773097,-0.159873,-0.018992,5.496978,0.0,0.256759,1.5
-2.71816,-0.161796,-0.016017,5.497121,0.0,0.097482,4.882544
-2.71816,-0.161796,-0.016017,5.497121,0.0,0.097482,4.882544
-2.71816,-0.161796,-0.016017,5.497121,0.0,0.087037,4.895162
-2.663217,-0.163583,-0.013218,5.497258,0.0,0.087037,4.895162
-2.663217,-0.163583,-0.013218,5.497258,0.0,0.087037,4.895162
-2.608268,-0.165206,-0.010256,5.497389,0.0,0.080074,4.74893
-2.608268,-0.165206,-0.010256,5.497389,0.0,0.080074,4.74893
-2.608268,-0.165206,-0.010256,5.497389,0.0,0.06963,4.800807
-2.553314,-0.166692,-0.00747,5.497513,0.0,0.06963,4.800807
-2.553314,-0.166692,-0.00747,5.497513,0.0,0.06963,4.800807
-2.498354,-0.168013,-0.004519,5.497631,0.0,0.059185,4.825593
-2.498354,-0.168013,-0.004519,5.497631,0.0,0.059185,4.825593
-2.498354,-0.168013,-0.004519,5.497631,0.0,0.050482,4.810098
-2.44339,-0.169221,-0.002064,5.497744,0.0,0.050482,4.810098
-2.44339,-0.169221,-0.002064,5.497744,0.0,0.050482,4.810098
-2.388424,-0.170368,-0.000613,5.497851,0.0,0.040037,4.957699
-2.388424,-0.170368,-0.000613,5.497851,0.0,0.040037,4.957699
-2.388424,-0.170368,-0.000613,5.497851,0.0,0.031333,4.955614
-2.333455,-0.171425,0.000327,5.497953,0.0,0.031333,4.955614
-2.333455,-0.171425,0.000327,5.497953,0.0,0.031333,4.955614
-2.278484,-0.172423,0.000547,5.49805,0.0,0.060926,1.5
-2.278484,-0.172423,0.000547,5.49805,0.0,0.060926,1.5
-2.278484,-0.172423,0.000547,5.49805,0.0,0.043519,1.5
-2.223511,-0.17334,0.000492,5.498143,0.0,0.043519,1.5
-2.223511,-0.17334,0.000492,5.498143,0.0,0.043519,1.5
-2.168536,-0.174212,-8.7e-05,5.498231,0.0,0.02176,1.5
-2.168536,-0.174212,-8.7e-05,5.498231,0.0,0.02176,1.5
-2.168536,-0.174212,-8.7e-05,5.498231,0.0,0.0,1.5
-2.113559,-0.175018,-0.000779,5.498316,0.0,0.0,1.5
-2.113559,-0.175018,-0.000779,5.498316,0.0,0.0,1.5
-2.058581,-0.175795,-0.001863,5.498396,0.0,-0.021759,1.5
-2.058581,-0.175795,-0.001863,5.498396,0.0,-0.021759,1.5
-2.058581,-0.175795,-0.001863,5.498396,0.0,-0.043518,1.5
-2.003602,-0.176525,-0.00295,5.498472,0.0,-0.043518,1.5
-2.003602,-0.176525,-0.00295,5.498472,0.0,-0.043518,1.5
-1.948621,-0.177243,-0.00434,5.498545,0.0,-0.065278,1.5
-1.948621,-0.177243,-0.00434,5.498545,0.0,-0.065278,1.5
-1.948621,-0.177243,-0.00434,5.498545,0.0,-0.082685,1.5
-1.89364,-0.177932,-0.005662,5.498614,0.0,-0.082685,1.5
-1.89364,-0.177932,-0.005662,5.498614,0.0,-0.082685,1.5
-1.838658,-0.178628,-0.007228,5.49868,0.0,-0.095741,1.5
-1.838658,-0.178628,-0.007228,5.49868,0.0,-0.095741,1.5
-1.838658,-0.178628,-0.007228,5.49868,0.0,-0.113148,1.5
-1.783675,-0.179311,-0.008678,5.498743,0.0,-0.113148,1.5
-1.783675,-0.179311,-0.008678,5.498743,0.0,-0.113148,1.5
-1.728692,-0.180015,-0.010335,5.498802,0.0,-0.126204,1.5
-1.728692,-0.180015,-0.010335,5.498802,0.0,-0.126204,1.5
-1.728692,-0.180015,-0.010335,5.498802,0.0,-0.134907,1.5
-1.673708,-0.180695,-0.011525,5.498859,0.0,-0.134907,1.5
