px, py, yaw, speed
-0.895478, 8.665912, 3.127323, 5.496124
-0.950411, 8.667714, 3.128088, 5.496309
-0.950411, 8.667714, 3.128088, 5.496309
-0.950411, 8.667714, 3.128088, 5.496309
-1.005347, 8.669445, 3.128320, 5.496484
-1.005347, 8.669445, 3.128320, 5.496484
-1.060289, 8.671086, 3.128431, 5.496651
-1.060289, 8.671086, 3.128431, 5.496651
-1.060289, 8.671086, 3.128431, 5.496651
-1.115233, 8.672669, 3.128141, 5.496811
-1.115233, 8.672669, 3.128141, 5.496811
-1.170181, 8.674177, 3.127840, 5.496962
-1.170181, 8.674177, 3.127840, 5.496962
-1.170181, 8.674177, 3.127840, 5.496962
-1.225132, 8.675642, 3.127228, 5.497107
-1.225132, 8.675642, 3.127228, 5.497107
-1.280086, 8.677047, 3.126678, 5.497244
-1.280086, 8.677047, 3.126678, 5.497244
-1.280086, 8.677047, 3.126678, 5.497244
-1.335042, 8.678426, 3.125877, 5.497375
-1.335042, 8.678426, 3.125877, 5.497375
-1.390000, 8.679759, 3.125185, 5.497500
-1.390000, 8.679759, 3.125185, 5.497500
-1.390000, 8.679759, 3.125185, 5.497500
-1.444960, 8.681079, 3.124282, 5.497619
-1.444960, 8.681079, 3.124282, 5.497619
-1.499921, 8.682367, 3.123518, 5.497732
-1.499921, 8.682367, 3.123518, 5.497732
-1.499921, 8.682367, 3.123518, 5.497732
-1.554884, 8.683655, 3.122566, 5.497840
-1.554884, 8.683655, 3.122566, 5.497840
-1.609848, 8.684922, 3.121773, 5.497943
-1.609848, 8.684922, 3.121773, 5.497943
-1.609848, 8.684922, 3.121773, 5.497943
-1.664813, 8.686200, 3.120806, 5.498041
-1.664813, 8.686200, 3.120806, 5.498041
-1.719780, 8.687440, 3.120332, 5.498134
-1.719780, 8.687440, 3.120332, 5.498134
-1.719780, 8.687440, 3.120332, 5.498134
-1.774750, 8.688596, 3.120861, 5.498223
-1.774750, 8.688596, 3.120861, 5.498223
-1.829721, 8.689698, 3.121905, 5.498307
-1.829721, 8.689698, 3.121905, 5.498307
-1.829721, 8.689698, 3.121905, 5.498307
-1.884695, 8.690720, 3.123673, 5.498388
-1.884695, 8.690720, 3.123673, 5.498388
-1.939671, 8.691685, 3.125723, 5.498464
-1.939671, 8.691685, 3.125723, 5.498464
-1.939671, 8.691685, 3.125723, 5.498464
-1.994649, 8.692561, 3.128305, 5.498537
-1.994649, 8.692561, 3.128305, 5.498537
-2.049629, 8.693370, 3.131008, 5.498607
-2.049629, 8.693370, 3.131008, 5.498607
-2.049629, 8.693370, 3.131008, 5.498607
-2.104611, 8.694078, 3.134112, 5.498673
-2.104611, 8.694078, 3.134112, 5.498673
-2.159594, 8.694705, 3.137227, 5.498736
-2.159594, 8.694705, 3.137227, 5.498736
-2.159594, 8.694705, 3.137227, 5.498736
-2.214580, 8.695216, 3.140653, 5.498796
-2.214580, 8.695216, 3.140653, 5.498796
-2.269566, 8.695656, -3.139489, 5.498853
-2.269566, 8.695656, -3.139489, 5.498853
-2.269566, 8.695656, -3.139489, 5.498853
-2.324553, 8.696070, -3.137363, 5.498908
-2.324553, 8.696070, -3.137363, 5.498908
-2.379542, 8.696423, -3.135683, 5.498960
-2.379542, 8.696423, -3.135683, 5.498960
-2.379542, 8.696423, -3.135683, 5.498960
-2.434530, 8.696739, -3.134677, 5.499009
-2.434530, 8.696739, -3.134677, 5.499009
-2.489520, 8.696991, -3.133912, 5.499056
-2.489520, 8.696991, -3.133912, 5.499056
-2.489520, 8.696991, -3.133912, 5.499056
-2.544511, 8.697207, -3.133650, 5.499101
-2.544511, 8.697207, -3.133650, 5.499101
-2.599502, 8.697364, -3.133487, 5.499144
-2.599502, 8.697364, -3.133487, 5.499144
-2.599502, 8.697364, -3.133487, 5.499144
-2.654493, 8.697492, -3.133709, 5.499185
-2.654493, 8.697492, -3.133709, 5.499185
-2.709485, 8.697570, -3.133933, 5.499224
-2.709485, 8.697570, -3.133933, 5.499224
-2.709485, 8.697570, -3.133933, 5.499224
-2.764477, 8.697628, -3.134461, 5.499260
-2.764477, 8.697628, -3.134461, 5.499260
-2.819470, 8.697646, -3.134926, 5.499296
-2.819470, 8.697646, -3.134926, 5.499296
-2.819470, 8.697646, -3.134926, 5.499296
-2.874463, 8.697656, -3.135642, 5.499329
-2.874463, 8.697656, -3.135642, 5.499329
-2.929457, 8.697636, -3.136250, 5.499361
-2.929457, 8.697636, -3.136250, 5.499361
-2.929457, 8.697636, -3.136250, 5.499361
-2.984451, 8.697618, -3.137074, 5.499391
-2.984451, 8.697618, -3.137074, 5.499391
-3.039445, 8.697580, -3.137761, 5.499420
-3.039445, 8.697580, -3.137761, 5.499420
-3.039445, 8.697580, -3.137761, 5.499420
-3.094439, 8.697553, -3.138642, 5.499448
-3.094439, 8.697553, -3.138642, 5.499448
-3.149434, 8.697514, -3.139368, 5.499474
-3.149434, 8.697514, -3.139368, 5.499474
-3.149434, 8.697514, -3.139368, 5.499474
-3.204428, 8.697495, -3.140274, 5.499499
-3.204428, 8.697495, -3.140274, 5.499499
-3.259423, 8.697471, -3.141014, 5.499523
-3.259423, 8.697471, -3.141014, 5.499523
-3.259423, 8.697471, -3.141014, 5.499523
-3.314419, 8.697473, 3.141261, 5.499546
-3.314419, 8.697473, 3.141261, 5.499546
-3.369414, 8.697478, 3.140522, 5.499567
-3.369414, 8.697478, 3.140522, 5.499567
-3.369414, 8.697478, 3.140522, 5.499567
-3.424410, 8.697514, 3.139617, 5.499588
-3.424410, 8.697514, 3.139617, 5.499588
-3.479406, 8.697558, 3.138887, 5.499607
-3.479406, 8.697558, 3.138887, 5.499607
-3.479406, 8.697558, 3.138887, 5.499607
-3.534402, 8.697638, 3.137993, 5.499626
-3.534402, 8.697638, 3.137993, 5.499626
-3.589398, 8.697729, 3.137276, 5.499644
-3.589398, 8.697729, 3.137276, 5.499644
-3.589398, 8.697729, 3.137276, 5.499644
-3.644395, 8.697860, 3.136396, 5.499661
-3.644395, 8.697860, 3.136396, 5.499661
-3.699391, 8.698006, 3.135693, 5.499677
-3.699391, 8.698006, 3.135693, 5.499677
-3.699391, 8.698006, 3.135693, 5.499677
-3.754388, 8.698195, 3.134827, 5.499692
-3.754388, 8.698195, 3.134827, 5.499692
-3.809384, 8.698401, 3.134137, 5.499707
-3.809384, 8.698401, 3.134137, 5.499707
-3.809384, 8.698401, 3.134137, 5.499707
-3.864381, 8.698652, 3.133284, 5.499721
-3.864381, 8.698652, 3.133284, 5.499721
-3.919378, 8.698923, 3.132606, 5.499734
-3.919378, 8.698923, 3.132606, 5.499734
-3.919378, 8.698923, 3.132606, 5.499734
-3.974374, 8.699240, 3.131764, 5.499747
-3.974374, 8.699240, 3.131764, 5.499747
-4.029371, 8.699552, 3.131419, 5.499759
-4.029371, 8.699552, 3.131419, 5.499759
-4.029371, 8.699552, 3.131419, 5.499759
-4.084368, 8.699809, 3.132080, 5.499770
